English	CKB
machine translation	وەرگێڕانی ئامێری / وەرگێڕانی مەکینەیی
digital assistant	یاریدەدەری دیجیتاڵی
information retrieval	دۆزینەوەی زانیاری
applied linguistics	زمانەوانیی کارەکی
knowledge base	بنکەی زانراوە
machine learning	فێربوونی مەکینە
natural language processing	پرۆسەس کردنی زمانی سروشتی
chatbot / chatterbot	چەتبۆت
deep learning	فێربوونی قووڵ
sign language	زمانی ئاماژە
rule-based	ڕێسابنەما
Indo-European	هیندوئەورووپی
GAFA (Google, Amazon, Facebook, Apple)	گافا
multiword expression (MWE)	دەربڕینی فرە وشە
descriptive linguistics	زمانەوانیی وەسفکەر
prescriptive grammar	ڕێزمانی پێشنیاری